pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,month,day
SL,2022-11-05,89.2,-0.06,6.14,"Pressly, Ryan",592206,519151,field_out,hit_into_play,,,,,14,Nick Castellanos flies out to right fielder Kyle Tucker in foul territory.,W,R,R,HOU,PHI,X,9,fly_ball,0,0,2022,0.41,0.37,1.05,2.39,,,592663,2,9,Top,195.76,145.13,,,455117,,,1.8596623302173585,-129.95836829777969,-4.015257899061042,4.329541027878623,25.54581823331786,-27.38043675174791,3.65,1.74,217,84.1,53,89.2,2679,6.1,715719,519151,455117,641820,514888,608324,665161,670541,676801,663656,54.42,0.02,0.021,0.0,1,0,0,3,64,1,Slider,4,1,1,4,1,4,1,4,Standard,Standard,137,0.011,-0.219,11,5
FF,2022-11-05,93.9,-0.18,5.94,"Pressly, Ryan",547180,519151,field_out,hit_into_play,,,,,8,Bryce Harper flies out to left fielder Yordan Alvarez.,W,L,R,HOU,PHI,X,7,fly_ball,0,0,2022,-0.33,1.57,0.06,2.08,,,592663,1,9,Top,65.52,124.44,,,455117,,,1.3687920656222463,-136.48637653749344,-7.693218344148926,-4.423996935421271,32.019239840318235,-11.04625987549086,3.24,1.62,239,99.4,60,93.6,2512,6.3,715719,519151,455117,641820,514888,608324,665161,670541,676801,663656,54.19,0.02,0.028,0.0,1,0,0,3,63,1,4-Seam Fastball,4,1,1,4,1,4,1,4,Infield shift,Standard,210,0.022,-0.3,11,5
FF,2022-11-05,93.0,-0.09,5.97,"Pressly, Ryan",592663,519151,single,hit_into_play,,,,,8,J.T. Realmuto singles on a sharp line drive to center fielder Chas McCormick.,W,R,R,HOU,PHI,X,8,line_drive,0,0,2022,-0.2,1.63,0.04,1.57,,,,1,9,Top,124.52,72.33,,,455117,,,0.7929043168014797,-135.24008196628654,-9.044986781919794,-2.662443684490571,30.778079611460168,-10.405250784486132,3.61,1.67,267,105.8,14,92.9,2421,6.3,715719,519151,455117,641820,514888,608324,665161,670541,676801,663656,54.15,0.7,0.752,0.9,1,1,0,5,62,1,4-Seam Fastball,4,1,1,4,1,4,1,4,Standard,Standard,212,-0.02,0.262,11,5
SL,2022-11-05,88.1,-0.15,6.03,"Pressly, Ryan",656555,519151,field_out,hit_into_play,,,,,14,Rhys Hoskins flies out to right fielder Kyle Tucker.,W,R,R,HOU,PHI,X,9,fly_ball,1,2,2022,0.61,0.21,0.92,1.43,,,,0,9,Top,168.45,104.25,,,455117,,,1.3364804332870706,-128.29052935155642,-5.546018275500714,6.571943093231876,24.542604563578696,-28.94502479900736,3.61,1.68,259,82.2,44,88.4,2798,6.2,715719,519151,455117,641820,514888,608324,665161,670541,676801,663656,54.26,0.011,0.01,0.0,1,0,0,3,61,4,Slider,4,1,1,4,1,4,1,4,Infield shift,Standard,120,0.018,-0.158,11,5
SL,2022-11-05,89.0,-0.25,6.06,"Pressly, Ryan",656555,519151,,foul,,,,,8,Rhys Hoskins flies out to right fielder Kyle Tucker.,W,R,R,HOU,PHI,S,,,1,1,2022,0.4,0.48,0.11,2.27,,,,0,9,Top,,,,,455117,,,0.0581025910299095,-129.71603961786943,-4.326569192538695,4.499476569725314,24.912144389945347,-26.11463951029189,3.61,1.68,7,81.9,-19,89.1,2811,6.1,715719,519151,455117,641820,514888,608324,665161,670541,676801,663656,54.39,,,,,,,,61,3,Slider,4,1,1,4,1,4,1,4,Infield shift,Standard,121,0.0,-0.054,11,5
SL,2022-11-05,87.2,-0.17,6.19,"Pressly, Ryan",656555,519151,,ball,,,,,12,Rhys Hoskins flies out to right fielder Kyle Tucker.,W,R,R,HOU,PHI,B,,,0,1,2022,0.38,0.33,0.93,3.35,,,,0,9,Top,,,,,455117,,,1.8315908029687336,-127.1644908891394,-1.4158261380542494,3.853865283744177,24.132356199445265,-28.489321699303584,3.57,1.75,,,,87.1,2739,5.9,715719,519151,455117,641820,514888,608324,665161,670541,676801,663656,54.58,,,,,,,,61,2,Slider,4,1,1,4,1,4,1,4,Infield shift,Standard,85,0.0,0.025,11,5
SL,2022-11-05,89.1,-0.26,6.16,"Pressly, Ryan",656555,519151,,foul_tip,,,,,5,Rhys Hoskins flies out to right fielder Kyle Tucker.,W,R,R,HOU,PHI,S,,,0,0,2022,0.28,0.53,0.01,2.79,,,,0,9,Top,,,,,455117,,,0.0663399625673394,-129.89438997345653,-3.4103329707466608,3.22069764710721,24.88242342795108,-25.660288173461584,3.61,1.68,,,,89.2,2713,6.0,715719,519151,455117,641820,514888,608324,665161,670541,676801,663656,54.47,,,,,,,,61,1,Slider,4,1,1,4,1,4,1,4,Infield shift,Standard,135,0.0,-0.034,11,5
KC,2022-11-05,86.4,-2.67,5.86,"Robertson, David",663656,502085,field_out,hit_into_play,,,,,13,Kyle Tucker flies out to left fielder Kyle Schwarber.,W,L,R,HOU,PHI,X,7,fly_ball,1,2,2022,0.49,-0.95,-0.08,0.93,,,,2,8,Bot,94.26,92.25,,,592663,,,5.199569180346786,-125.66509708710056,-3.555273507523321,4.028504960808696,26.998312895923025,-41.63660864594916,3.59,1.7,278,88.9,43,86.4,2745,6.4,715719,502085,592663,656555,516416,664761,681082,656941,669016,592206,54.07,0.009,0.01,0.0,1,0,0,3,60,4,Knuckle Curve,4,1,4,1,1,4,4,1,Infield shift,Standard,47,-0.001,-0.07,11,5
FC,2022-11-05,92.9,-2.61,5.86,"Robertson, David",663656,502085,,foul,,,,,7,Kyle Tucker flies out to left fielder Kyle Schwarber.,W,L,R,HOU,PHI,S,,,1,1,2022,0.36,1.39,-0.34,2.0,,,,2,8,Bot,,,,,592663,,,5.06703036450708,-134.9830913869313,-7.114893894125507,3.1413167341728867,31.75514285125081,-13.80356328110511,3.59,1.7,,,,93.1,2708,6.7,715719,502085,592663,656555,516416,664761,681082,656941,669016,592206,53.82,,,,,,,,60,3,Cutter,4,1,4,1,1,4,4,1,Infield shift,Standard,204,0.0,-0.023,11,5
SL,2022-11-05,80.7,-2.73,5.85,"Robertson, David",663656,502085,,swinging_strike,,,,,13,Kyle Tucker flies out to left fielder Kyle Schwarber.,W,L,R,HOU,PHI,S,,,1,0,2022,0.83,-0.41,-0.03,0.37,,,,2,8,Bot,,,,,592663,,,4.442295292069976,-117.31942471336228,-4.681241332477889,6.689985192143109,24.212144396427927,-35.19843891371985,3.59,1.7,,,,80.5,2882,6.4,715719,502085,592663,656555,516416,664761,681082,656941,669016,592206,54.08,,,,,,,,60,2,Slider,4,1,4,1,1,4,4,1,Infield shift,Standard,67,0.0,-0.021,11,5
