IDfg,Season,Name,Team,Age,W,L,WAR,ERA,G,GS,CG,ShO,SV,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Balls,Strikes,Pitches,RS,IFH,BU,BUH,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Starting,Start-IP,Relieving,Relief-IP,RAR,Dollars,tERA,xFIP,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,FB% 2,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,HLD,SD,MD,ERA-,FIP-,xFIP-,K%,BB%,SIERA,RS/9,E-F,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,Age Rng,K-BB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,kwERA,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,LD%+,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xERA
1006511,1910,Walter Johnson,WAS,22,25,17,9.6,1.36,45,42,38,8,1,,370.0,,262,92,56,1,76,,13,21,0,313,,,,,,,,,,,,7.61,1.85,4.12,6.37,0.02,0.201,0.91,0.263,0.741,1.28,,,,,,,,,,,,,74.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,54,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,0.6,0.5,1.1,22 - 22,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,67,270.0,80,21,84,77,98,109.0,,,,,,,,,,,,,,,,,,,,0,,,
1013570,1910,Ed Walsh,CHW,29,18,20,8.1,1.27,45,36,33,7,5,,369.2,,242,90,52,5,61,,4,6,2,258,,,,,,,,,,,,6.28,1.49,4.23,5.89,0.12,0.188,0.82,0.232,0.723,1.6,,,,,,,,,,,,,64.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,64,,,,,,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,3.6,-0.8,2.8,29 - 29,,,,,,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,54,278.0,74,104,79,69,86,107.0,,,,,,,,,,,,,,,,,,,,0,,,
1008235,1910,Christy Mathewson,NYG,29,27,9,7.5,1.89,38,35,27,2,0,,318.1,,292,100,67,5,60,,3,8,0,184,,,,,,,,,,,,5.2,1.7,3.07,8.26,0.14,0.245,1.11,0.287,0.733,1.94,,,,,,,,,,,,,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,67,,,,,,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,-1.0,1.9,0.9,29 - 29,,,,,,,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,52,273.0,98,81,98,85,104,108.0,,,,,,,,,,,,,,,,,,,,0,,,
1004223,1910,Russ Ford,NYH,27,26,6,6.6,1.65,36,33,29,8,1,,299.2,,194,69,55,4,70,,8,5,1,209,,,,,,,,,,,,6.28,2.1,2.99,5.83,0.12,0.187,0.88,0.23,0.762,1.8,,,,,,,,,,,,,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,69,,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,2.9,1.0,3.9,27 - 27,,,,,,,,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,76,196.0,74,102,79,74,85,112.0,,,,,,,,,,,,,,,,,,,,0,,,
1001547,1910,Mordecai Brown,CHC,33,25,14,5.6,1.86,46,31,27,6,7,,295.1,,256,95,61,3,64,,4,6,0,143,,,,,,,,,,,,4.36,1.95,2.23,7.8,0.09,0.235,1.08,0.268,0.716,2.14,,,,,,,,,,,,,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,75,,,,,,-0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.6,0.8,1.4,33 - 33,,,,,,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,60,199.0,92,53,94,83,97,106.0,,,,,,,,,,,,,,,,,,,,0,,,
1002583,1910,Jack Coombs,PHA,27,31,9,5.4,1.3,45,38,35,13,1,,353.0,,248,74,51,0,115,,7,10,0,224,,,,,,,,,,,,5.71,2.93,1.95,6.32,0.0,0.199,1.03,0.243,0.8,2.03,,,,,,,,,,,,,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,83,,,,,,-0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,2.5,4.5,7.0,27 - 27,,,,,,,,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,106,128.0,80,0,84,87,90,118.0,,,,,,,,,,,,,,,,,,,,0,,,
1000827,1910,Chief Bender,PHA,26,23,5,4.9,1.58,30,28,25,3,0,,250.0,,182,63,44,1,47,,10,7,0,155,,,,,,,,,,,,5.58,1.69,3.3,6.55,0.04,0.205,0.92,0.248,0.741,1.7,,,,,,,,,,,,,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,72,,,,,,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,1.5,0.8,2.3,26 - 26,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,61,216.0,83,31,86,77,92,109.0,,,,,,,,,,,,,,,,,,,,0,,,
1011281,1910,Nap Rucker,BRO,25,17,18,4.8,2.58,41,39,27,6,0,,320.1,,293,112,92,5,84,,9,5,0,147,,,,,,,,,,,,4.13,2.36,1.75,8.23,0.14,0.245,1.18,0.276,0.723,2.39,,,,,,,,,,,,,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,87,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,0.0,1.8,1.7,25 - 25,,,,,,,,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,72,156.0,98,81,98,91,100,107.0,,,,,,,,,,,,,,,,,,,,0,,,
1001866,1910,Howie Camnitz,PIT,28,12,13,4.7,3.22,38,31,16,1,2,,260.0,,246,110,93,1,61,,12,5,1,120,,,,,,,,,,,,4.15,2.11,1.97,8.52,0.03,0.251,1.18,0.285,0.6579999999999999,2.15,,,,,,,,,,,,,41.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,79,,,,,,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,-0.7,-0.8,-1.5,28 - 28,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,65,175.0,101,20,101,91,104,97.0,,,,,,,,,,,,,,,,,,,,0,,,
1004372,1910,Sam Frock,- - -,27,12,19,4.6,3.22,46,29,13,2,2,,257.1,,247,137,92,8,93,,5,3,0,171,,,,,,,,,,,,5.98,3.25,1.84,8.64,0.28,0.254,1.32,0.301,0.623,2.48,,,,,,,,,,,,,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,80,,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,-1.5,-2.0,-3.5,27 - 27,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,100,164.0,102,161,102,102,109,92.0,,,,,,,,,,,,,,,,,,,,0,,,
1002462,1910,Ray Collins,BOS,23,13,11,4.4,1.62,35,26,18,4,1,,244.2,,205,73,44,1,41,,1,1,1,109,,,,,,,,,,,,4.01,1.51,2.66,7.54,0.04,0.229,1.01,0.26,0.708,1.99,,,,,,,,,,,,,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,76,,,,,,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,0.6,0.5,1.2,23 - 23,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,55,174.0,95,31,96,85,97,104.0,,,,,,,,,,,,,,,,,,,,0,,,
1009103,1910,Earl Moore,PHI,30,22,15,4.0,2.58,46,35,18,6,0,,283.0,,228,98,81,5,121,,10,5,0,185,,,,,,,,,,,,5.88,3.85,1.53,7.25,0.16,0.222,1.23,0.267,0.741,2.53,,,,,,,,,,,,,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,89,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,0.6,1.5,2.2,30 - 30,,,,,,,,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,118,136.0,86,92,89,95,97,110.0,,,,,,,,,,,,,,,,,,,,0,,,
1000041,1910,Babe Adams,PIT,28,18,9,3.8,2.24,34,30,16,3,0,,245.0,,217,95,61,4,60,,6,1,0,101,,,,,,,,,,,,3.71,2.2,1.68,7.97,0.15,0.239,1.13,0.265,0.6779999999999999,2.44,,,,,,,,,,,,,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,86,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,0.7,-0.4,0.3,28 - 28,,,,,,,,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,68,150.0,94,85,96,87,96,100.0,,,,,,,,,,,,,,,,,,,,0,,,
1014116,1910,Hooks Wiltse,NYG,30,14,12,3.8,2.72,36,30,18,2,2,,235.1,,232,96,71,4,52,,2,0,0,88,,,,,,,,,,,,3.37,1.99,1.69,8.87,0.15,0.259,1.21,0.284,0.6779999999999999,2.46,,,,,,,,,,,,,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,84,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,-0.5,0.1,-0.4,30 - 30,,,,,,,,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,61,151.0,105,88,104,93,103,100.0,,,,,,,,,,,,,,,,,,,,0,,,
1003512,1910,Louis Drucke,NYG,21,12,10,3.7,2.47,34,27,15,0,0,,215.1,,174,73,59,3,82,,11,3,1,151,,,,,,,,,,,,6.31,3.43,1.84,7.27,0.13,0.223,1.19,0.273,0.738,2.24,,,,,,,,,,,,,32.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,81,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,0.2,1.0,1.2,21 - 21,,,,,,,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,105,164.0,86,72,89,91,99,109.0,,,,,,,,,,,,,,,,,,,,0,,,
1000807,1910,George Bell,BRO,35,10,27,3.7,2.64,44,36,25,4,1,,310.0,,267,127,91,4,82,,4,1,0,102,,,,,,,,,,,,2.96,2.38,1.24,7.75,0.12,0.234,1.13,0.254,0.6509999999999999,2.62,,,,,,,,,,,,,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,93,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1.8,-1.7,0.2,35 - 35,,,,,,,,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,73,111.0,92,67,94,87,92,96.0,,,,,,,,,,,,,,,,,,,,0,,,
