IDfg,Season,Name,Team,Age,W,L,WAR,ERA,G,GS,CG,ShO,SV,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Balls,Strikes,Pitches,RS,IFH,BU,BUH,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Starting,Start-IP,Relieving,Relief-IP,RAR,Dollars,tERA,xFIP,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,FB% 2,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,HLD,SD,MD,ERA-,FIP-,xFIP-,K%,BB%,SIERA,RS/9,E-F,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,Age Rng,K-BB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,kwERA,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,LD%+,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xERA
1011671,1956,Herb Score,CLE,23,20,9,6.8,2.53,35,33,16,5,0,,249.1,1022,162,82,70,18,129,2,2,11,0,263,,,,,,,,,,,,9.49,4.66,2.04,5.85,0.65,0.182,1.17,0.236,0.7879999999999999,2.77,,,,,,,,,,,,,61.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,70,,0.257,0.126,,,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,2.0,-0.5,1.4,23 - 23,0.131,,,,,,,2.71,0.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,114.0,176.0,66.0,74.0,71.0,81.0,86.0,111,214,121,,,,,,,,,,,,,,,,,,0,,,
1014309,1956,Early Wynn,CLE,36,20,9,6.1,2.72,38,35,18,4,2,,277.2,1144,233,93,84,19,91,7,5,5,0,158,,,,,,,,,,,,5.12,2.95,1.74,7.55,0.62,0.222,1.17,0.246,0.78,3.16,,,,,,,,,,,,,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,79,,0.138,0.08,,,-0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,2.1,0.7,2.8,36 - 36,0.059000000000000004,,,,,,,3.58,0.23399999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,72.0,150.0,85.0,70.0,87.0,81.0,90.0,110,115,76,,,,,,,,,,,,,,,,,,0,,,
1004355,1956,Bob Friend,PIT,25,17,17,6.1,3.46,49,42,19,4,3,,314.1,1315,310,137,121,25,85,18,2,5,0,166,,,,,,,,,,,,4.75,2.43,1.95,8.88,0.72,0.252,1.26,0.275,0.718,3.18,,,,,,,,,,,,,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,83,,0.126,0.065,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,-0.9,-0.6,-1.5,25 - 25,0.062,,,,,,,3.54,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,75.0,137.0,102.0,72.0,101.0,95.0,104.0,98,104,76,,,,,,,,,,,,,,,,,,0,,,
1010326,1956,Billy Pierce,CHW,29,20,9,5.8,3.32,35,33,21,1,1,,276.1,1166,261,108,102,24,100,7,3,6,1,192,,,,,,,,,,,,6.25,3.26,1.92,8.5,0.78,0.246,1.31,0.28,0.775,3.23,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,82,,0.165,0.086,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,-0.4,1.6,1.2,29 - 29,0.079,,,,,,,3.33,0.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,80.0,166.0,95.0,89.0,96.0,90.0,102.0,109,137,82,,,,,,,,,,,,,,,,,,0,,,
1007364,1956,Frank Lary,DET,26,21,13,5.5,3.15,41,38,20,3,1,,294.0,1269,289,116,103,20,116,4,12,3,1,165,,,,,,,,,,,,5.05,3.55,1.42,8.85,0.61,0.253,1.38,0.281,0.774,3.44,,,,,,,,,,,,,52.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,86,,0.13,0.091,,,-0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,-0.6,2.5,1.9,26 - 26,0.039,,,,,,,3.82,0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,87.0,123.0,99.0,70.0,99.0,95.0,103.0,109,108,88,,,,,,,,,,,,,,,,,,0,,,
1000277,1956,Johnny Antonelli,NYG,26,20,13,5.3,2.86,41,36,15,5,1,,258.1,1061,225,93,82,20,75,10,3,6,0,145,,,,,,,,,,,,5.05,2.61,1.93,7.84,0.7,0.229,1.16,0.251,0.764,3.16,,,,,,,,,,,,,49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,81,,0.13699999999999998,0.071,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,1.0,0.0,1.0,26 - 26,0.066,,,,,,,3.49,0.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,81.0,135.0,90.0,70.0,91.0,87.0,95.0,105,113,83,,,,,,,,,,,,,,,,,,0,,,
1001409,1956,Tom Brewer,BOS,24,19,9,5.2,3.5,32,32,15,4,0,,244.1,1039,200,103,95,14,112,6,5,5,0,127,,,,,,,,,,,,4.68,4.13,1.13,7.37,0.52,0.217,1.28,0.238,0.72,3.51,,,,,,,,,,,,,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,82,,0.122,0.10800000000000001,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,2.2,-1.2,1.0,24 - 24,0.013999999999999999,,,,,,,4.11,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,101.0,98.0,83.0,59.0,85.0,88.0,87.0,101,101,104,,,,,,,,,,,,,,,,,,0,,,
1009529,1956,Don Newcombe,BRO,30,27,7,5.0,3.06,38,36,18,5,0,,268.0,1052,219,101,91,33,46,8,3,4,0,139,,,,,,,,,,,,4.67,1.54,3.02,7.35,1.11,0.218,0.99,0.224,0.753,3.48,,,,,,,,,,,,,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,86,,0.132,0.044000000000000004,,,-0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,2.8,-1.3,1.5,30 - 30,0.08800000000000001,,,,,,,3.22,0.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,48.0,211.0,84.0,112.0,87.0,74.0,85.0,103,109,52,,,,,,,,,,,,,,,,,,0,,,
1004227,1956,Whitey Ford,NYY,27,19,6,5.0,2.47,31,30,18,2,1,,225.2,920,187,70,62,13,84,3,4,6,0,141,,,,,,,,,,,,5.62,3.35,1.68,7.46,0.52,0.225,1.2,0.257,0.7979999999999999,3.04,,,,,,,,,,,,,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,79,,0.153,0.091,,,-0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,1.0,1.6,2.7,27 - 27,0.062,,,,,,,3.54,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,82.0,145.0,84.0,59.0,88.0,83.0,94.0,112,127,88,,,,,,,,,,,,,,,,,,0,,,
1005893,1956,Billy Hoeft,DET,24,20,14,4.6,4.06,38,34,18,4,0,,248.0,1094,276,127,112,22,104,12,5,7,0,172,,,,,,,,,,,,6.24,3.77,1.65,10.02,0.8,0.28,1.53,0.321,0.728,3.45,,,,,,,,,,,,,43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,86,,0.157,0.095,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,-3.0,1.5,-1.5,24 - 24,0.062,,,,,,,3.53,0.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,92.0,143.0,112.0,91.0,110.0,106.0,117.0,102,130,91,,,,,,,,,,,,,,,,,,0,,,
