IDfg,Season,Name,Team,Age,W,L,WAR,ERA,G,GS,CG,ShO,SV,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Balls,Strikes,Pitches,RS,IFH,BU,BUH,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Starting,Start-IP,Relieving,Relief-IP,RAR,Dollars,tERA,xFIP,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,FB% 2,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,HLD,SD,MD,ERA-,FIP-,xFIP-,K%,BB%,SIERA,RS/9,E-F,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,Age Rng,K-BB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,kwERA,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,LD%+,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xERA
1006511,1919,Walter Johnson,WAS,31,20,14,6.8,1.49,39,29,27,7,2,,290.1,1155,235,73,48,0,51,,7,4,1,147,,,,,,,,,,,,4.56,1.58,2.88,7.28,0.0,0.214,0.99,0.247,0.7509999999999999,2.07,,,,,,,,,,,,,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,68,,0.127,0.044000000000000004,,,-0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,3.4,-0.4,3.0,31 - 31,0.083,,,,,,,2.19,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.0,52.0,271.0,81.0,0.0,81.0,74.0,86.0,111.0,148,54,,,,,,,,,,,,,,,,,,0,,,
1002682,1919,Stan Coveleski,CLE,29,24,12,6.1,2.61,43,34,24,4,4,,286.0,1138,286,99,83,2,60,,5,5,0,118,,,,,,,,,,,,3.71,1.89,1.97,9.0,0.06,0.267,1.21,0.298,0.7240000000000001,2.43,,,,,,,,,,,,,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,74,,0.10400000000000001,0.053,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,-0.9,1.6,0.7,29 - 29,0.051,,,,,,,2.58,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,63.0,185.0,100.0,29.0,101.0,91.0,104.0,107.0,120,65,,,,,,,,,,,,,,,,,,0,,,
1013384,1919,Hippo Vaughn,CHC,31,21,14,5.9,1.79,38,37,25,4,1,,306.2,1224,264,83,61,3,62,,6,5,0,141,,,,,,,,,,,,4.14,1.82,2.27,7.75,0.09,0.228,1.06,0.258,0.76,2.36,,,,,,,,,,,,,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,78,,0.115,0.051,,,-0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,1.0,1.7,2.6,31 - 31,0.065,,,,,,,2.42,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,78.0,180.0,90.0,48.0,92.0,88.0,96.0,110.0,145,80,,,,,,,,,,,,,,,,,,0,,,
1002236,1919,Eddie Cicotte,CHW,35,29,7,5.8,1.82,40,35,30,5,1,,306.2,1176,256,77,62,5,49,,2,1,0,110,,,,,,,,,,,,3.23,1.44,2.24,7.51,0.15,0.228,0.99,0.249,0.767,2.48,,,,,,,,,,,,,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,79,,0.094,0.042,,,-0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,3.4,1.5,4.9,35 - 35,0.052000000000000005,,,,,,,2.57,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,48.0,211.0,84.0,68.0,86.0,75.0,87.0,113.0,109,51,,,,,,,,,,,,,,,,,,0,,,
1000041,1919,Babe Adams,PIT,37,17,10,5.8,1.98,34,29,23,6,1,,263.1,1017,213,66,58,1,23,,3,2,0,92,,,,,,,,,,,,3.14,0.79,4.0,7.28,0.03,0.215,0.9,0.236,0.728,2.13,,,,,,,,,,,,,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,71,,0.09,0.023,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.7,-0.5,2.2,37 - 37,0.068,,,,,,,2.38,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,34.0,317.0,85.0,18.0,86.0,74.0,88.0,106.0,114,36,,,,,,,,,,,,,,,,,,0,,,
1000128,1919,Pete Alexander,CHC,32,16,11,5.4,1.72,30,27,20,9,1,,235.0,906,180,51,45,3,38,,0,1,0,121,,,,,,,,,,,,4.63,1.46,3.18,6.89,0.11,0.207,0.93,0.238,0.7809999999999999,2.11,,,,,,,,,,,,,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,70,,0.134,0.042,,,-0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,2.1,0.9,3.0,32 - 32,0.092,,,,,,,2.09,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0,62.0,252.0,80.0,62.0,83.0,76.0,89.0,113.0,168,66,,,,,,,,,,,,,,,,,,0,,,
1014015,1919,Lefty Williams,CHW,26,23,11,5.0,2.64,41,40,27,5,1,,297.0,1155,265,104,87,7,58,,11,0,0,125,,,,,,,,,,,,3.79,1.76,2.16,8.03,0.21,0.244,1.09,0.27,0.7090000000000001,2.65,,,,,,,,,,,,,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,85,,0.10800000000000001,0.05,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,1.3,0.2,1.5,26 - 26,0.057999999999999996,,,,,,,2.5,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,58.0,203.0,90.0,99.0,92.0,82.0,94.0,104.0,126,62,,,,,,,,,,,,,,,,,,0,,,
1000411,1919,Jim Bagby,CLE,29,17,11,4.2,2.8,35,32,21,0,3,,241.1,987,258,96,75,3,44,,4,2,0,61,,,,,,,,,,,,2.27,1.64,1.39,9.62,0.11,0.275,1.25,0.291,0.696,2.74,,,,,,,,,,,,,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,84,,0.062,0.045,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,-0.3,0.4,0.1,29 - 29,0.017,,,,,,,2.99,0.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,54.0,131.0,107.0,52.0,104.0,94.0,102.0,102.0,72,55,,,,,,,,,,,,,,,,,,0,,,
1001811,1919,Leon Cadore,BRO,28,14,12,4.2,2.37,35,27,16,3,0,,250.2,996,228,80,66,5,39,,6,3,0,94,,,,,,,,,,,,3.37,1.4,2.41,8.19,0.18,0.24,1.07,0.262,0.726,2.53,,,,,,,,,,,,,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,84,,0.094,0.039,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,0.5,0.6,1.1,28 - 28,0.055,,,,,,,2.53,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0,60.0,191.0,95.0,97.0,96.0,88.0,98.0,105.0,119,62,,,,,,,,,,,,,,,,,,0,,,
1000566,1919,Jesse Barnes,NYG,26,25,9,4.1,2.4,38,34,23,4,1,,295.2,1178,263,98,79,8,35,,2,2,0,92,,,,,,,,,,,,2.8,1.07,2.63,8.01,0.24,0.23,1.01,0.245,0.6990000000000001,2.59,,,,,,,,,,,,,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,90,,0.078,0.03,,,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,2.2,-1.1,1.1,26 - 26,0.048,,,,,,,2.61,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,46.0,208.0,93.0,132.0,92.0,83.0,91.0,101.0,98,47,,,,,,,,,,,,,,,,,,0,,,
