IDfg,Season,Name,Team,Age,W,L,WAR,ERA,G,GS,CG,ShO,SV,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Balls,Strikes,Pitches,RS,IFH,BU,BUH,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Starting,Start-IP,Relieving,Relief-IP,RAR,Dollars,tERA,xFIP,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,FB% 2,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,HLD,SD,MD,ERA-,FIP-,xFIP-,K%,BB%,SIERA,RS/9,E-F,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,Age Rng,K-BB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,kwERA,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,LD%+,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xERA
1007843,1923,Dolf Luque,CIN,32,27,8,6.8,1.93,41,37,28,6,2,,322.0,1301,279,90,69,2,88,,5,4,1,151,,,,,,,,,,,,4.22,2.46,1.72,7.8,0.06,0.231,1.14,0.263,0.764,2.94,,,,,,,,,,,,,65.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,77,,0.11599999999999999,0.068,,,-1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,2.8,2.9,5.7,32 - 32,0.048,,,,,,,3.33,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.0,87.0,176.0,78.0,13.0,83,80.0,90,116.0,164,93,,,,,,,,,,,,,,,,,,0,,,
1011008,1923,Eppa Rixey,CIN,32,20,15,5.9,2.8,42,37,23,3,1,,309.0,1294,334,124,96,3,65,,4,6,0,97,,,,,,,,,,,,2.83,1.89,1.49,9.73,0.09,0.273,1.29,0.294,0.7,3.1,,,,,,,,,,,,,57.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,81,,0.075,0.05,,,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,-0.3,1.6,1.3,32 - 32,0.025,,,,,,,3.62,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,67.0,153.0,97.0,20.0,98,90.0,101,106.0,106,69,,,,,,,,,,,,,,,,,,0,,,
1011918,1923,Urban Shocker,SLB,32,20,12,5.9,3.41,43,35,24,3,5,,277.1,1154,292,122,105,12,49,,3,2,0,109,,,,,,,,,,,,3.54,1.59,2.22,9.48,0.39,0.265,1.23,0.285,0.6779999999999999,3.27,,,,,,,,,,,,,57.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,78,,0.094,0.042,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,0.2,0.0,0.2,32 - 32,0.052000000000000005,,,,,,,3.29,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,47.0,253.0,98.0,108.0,98,85.0,99,102.0,126,50,,,,,,,,,,,,,,,,,,0,,,
1013266,1923,George Uhle,CLE,24,26,16,5.8,3.77,54,44,29,1,5,,357.2,1548,378,167,150,8,102,,12,3,0,109,,,,,,,,,,,,2.74,2.57,1.07,9.51,0.2,0.264,1.34,0.281,0.6759999999999999,3.57,,,,,,,,,,,,,58.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,88,,0.07,0.066,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,0.8,-0.2,0.5,24 - 24,0.005,,,,,,,3.86,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,77.0,122.0,98.0,56.0,97,93.0,98,102.0,94,77,,,,,,,,,,,,,,,,,,0,,,
1010972,1923,Jimmy Ring,PHI,28,18,16,5.5,3.87,39,36,23,0,0,,304.1,1333,336,151,131,13,115,,1,14,2,112,,,,,,,,,,,,3.31,3.4,0.97,9.94,0.38,0.276,1.48,0.296,0.6940000000000001,3.9,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,87,,0.084,0.086,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,-0.3,1.2,0.9,28 - 28,-0.002,,,,,,,3.94,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,120.0,100.0,99.0,88.0,99,104.0,101,105.0,119,119,,,,,,,,,,,,,,,,,,0,,,
1013342,1923,Dazzy Vance,BRO,32,18,15,5.4,3.5,37,35,21,3,0,,280.1,1187,263,127,109,10,100,,11,5,0,197,,,,,,,,,,,,6.32,3.21,1.97,8.44,0.32,0.244,1.29,0.291,0.6859999999999999,3.18,,,,,,,,,,,,,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,82,,0.166,0.084,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,0.0,-0.2,-0.2,32 - 32,0.08199999999999999,,,,,,,2.93,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.0,113.0,202.0,84.0,73.0,88,91.0,100,104.0,235,116,,,,,,,,,,,,,,,,,,0,,,
1000128,1923,Pete Alexander,CHC,36,22,12,5.1,3.19,39,36,26,3,2,,305.0,1246,308,128,108,17,30,,0,2,0,72,,,,,,,,,,,,2.12,0.89,2.4,9.09,0.5,0.253,1.11,0.258,0.6679999999999999,3.48,,,,,,,,,,,,,50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,87,,0.057999999999999996,0.024,,,-0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,3.1,-1.1,2.0,36 - 36,0.034,,,,,,,3.51,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,31.0,246.0,91.0,115.0,91,78.0,89,102.0,82,33,,,,,,,,,,,,,,,,,,0,,,
1003011,1923,Hooks Dauss,DET,33,21,13,5.0,3.62,50,39,22,4,3,,316.0,1340,331,140,127,10,78,,7,1,0,105,,,,,,,,,,,,2.99,2.22,1.35,9.43,0.28,0.264,1.29,0.282,0.687,3.49,,,,,,,,,,,,,50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,88,,0.078,0.057999999999999996,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.6,0.3,1.0,33 - 33,0.02,,,,,,,3.67,0.14400000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,66.0,153.0,97.0,79.0,97,89.0,98,103.0,105,68,,,,,,,,,,,,,,,,,,0,,,
1008705,1923,Lee Meadows,- - -,28,17,13,5.0,3.83,39,30,17,1,1,,246.2,1053,290,129,105,3,59,,1,1,0,76,,,,,,,,,,,,2.77,2.15,1.29,10.58,0.11,0.292,1.41,0.314,0.639,3.2,,,,,,,,,,,,,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,80,,0.07200000000000001,0.055999999999999994,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,-1.4,0.2,-1.2,28 - 28,0.016,,,,,,,3.72,0.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,76.0,132.0,106.0,25.0,105,99.0,108,97.0,102,77,,,,,,,,,,,,,,,,,,0,,,
1009217,1923,Johnny Morrison,PIT,27,25,13,4.7,3.49,42,37,27,2,2,,301.2,1270,287,136,117,6,110,,5,9,0,114,,,,,,,,,,,,3.4,3.28,1.04,8.56,0.18,0.248,1.32,0.271,0.6759999999999999,3.58,,,,,,,,,,,,,46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,90,,0.09,0.087,,,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.7,-0.4,1.3,27 - 27,0.003,,,,,,,3.88,0.18100000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0,116.0,106.0,85.0,41.0,89,92.0,93,103.0,127,119,,,,,,,,,,,,,,,,,,0,,,
