IDfg,Season,Name,Team,Age,W,L,WAR,ERA,G,GS,CG,ShO,SV,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Balls,Strikes,Pitches,RS,IFH,BU,BUH,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Starting,Start-IP,Relieving,Relief-IP,RAR,Dollars,tERA,xFIP,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,FB% 2,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,HLD,SD,MD,ERA-,FIP-,xFIP-,K%,BB%,SIERA,RS/9,E-F,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,Age Rng,K-BB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,kwERA,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,LD%+,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xERA
1010017,1949,Mel Parnell,BOS,27,25,7,6.9,2.77,39,33,27,4,2,,295.1,1240,258,102,91,8,134,,5,9,0,122,,,,,,,,,,,,3.72,4.08,0.91,7.86,0.24,0.234,1.33,0.257,0.765,3.45,,,,,,,,,,,,,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,77,,0.098,0.10800000000000001,,,-0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,1.3,1.8,3.1,27 - 27,-0.01,,,,,,,4.1,0.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,88.0,117.0,87.0,39.0,91,88.0,94,109.0,109,93,,,,,,,,,,,,,,,,,,0,,,
1010423,1949,Howie Pollet,STL,28,20,9,6.0,2.77,39,28,17,5,1,,230.2,964,228,80,71,9,59,,2,2,0,108,,,,,,,,,,,,4.21,2.3,1.83,8.9,0.35,0.252,1.24,0.279,0.7559999999999999,2.87,,,,,,,,,,,,,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,70,,0.11199999999999999,0.061,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,-0.4,1.2,0.8,28 - 28,0.051,,,,,,,3.37,0.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.0,65.0,176.0,98.0,46.0,97,89.0,102,108.0,117,66,,,,,,,,,,,,,,,,,,0,,,
1009535,1949,Hal Newhouser,DET,28,18,11,5.9,3.36,38,35,22,3,1,,292.0,1228,277,118,109,19,111,,0,3,0,144,,,,,,,,,,,,4.44,3.42,1.3,8.54,0.59,0.248,1.33,0.27,0.747,3.51,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,82,,0.11699999999999999,0.09,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,0.2,1.1,1.3,28 - 28,0.027000000000000003,,,,,,,3.66,0.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0,74.0,167.0,95.0,93.0,96,88.0,99,107.0,129,77,,,,,,,,,,,,,,,,,,0,,,
1009529,1949,Don Newcombe,BRO,23,17,8,5.6,3.17,38,31,19,5,1,,244.1,1005,223,89,86,17,73,,3,4,2,149,,,,,,,,,,,,5.49,2.69,2.04,8.21,0.63,0.24,1.21,0.27,0.763,3.13,,,,,,,,,,,,,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,77,,0.14800000000000002,0.073,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,0.2,1.0,1.1,23 - 23,0.076,,,,,,,3.08,0.23800000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.0,75.0,196.0,91.0,83.0,92,86.0,99,109.0,154,79,,,,,,,,,,,,,,,,,,0,,,
1013203,1949,Virgil Trucks,DET,32,19,11,5.3,2.81,41,32,17,6,4,,275.0,1133,209,95,86,16,124,,4,3,0,153,,,,,,,,,,,,5.01,4.06,1.23,6.84,0.52,0.208,1.21,0.231,0.769,3.55,,,,,,,,,,,,,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,83,,0.135,0.109,,,-0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,3.0,0.2,3.2,32 - 32,0.026000000000000002,,,,,,,3.68,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.0,88.0,159.0,76.0,83.0,80,80.0,84,110.0,149,94,,,,,,,,,,,,,,,,,,0,,,
1006922,1949,Ellis Kinder,BOS,34,23,6,5.0,3.36,43,30,19,6,4,,252.0,1085,251,103,94,21,99,,2,1,0,138,,,,,,,,,,,,4.93,3.54,1.39,8.96,0.75,0.255,1.39,0.279,0.772,3.7,,,,,,,,,,,,,48.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,82,,0.127,0.091,,,-0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,-0.3,1.8,1.5,34 - 34,0.036000000000000004,,,,,,,3.55,0.23800000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.0,76.0,180.0,99.0,119.0,99,92.0,102,110.0,140,78,,,,,,,,,,,,,,,,,,0,,,
1007533,1949,Dutch Leonard,CHC,40,7,16,4.8,4.15,33,28,10,1,0,,180.0,788,198,94,83,4,43,,7,7,0,83,,,,,,,,,,,,4.15,2.15,1.93,9.9,0.2,0.268,1.34,0.298,0.635,2.71,,,,,,,,,,,,,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,68,,0.105,0.055,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,-1.4,-1.8,-3.2,40 - 40,0.051,,,,,,,3.37,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0,60.0,185.0,109.0,26.0,103,95.0,109,91.0,110,59,,,,,,,,,,,,,,,,,,0,,,
1012299,1949,Warren Spahn,BSN,28,21,14,4.5,3.07,38,38,25,4,0,,302.1,1258,283,125,103,27,86,,3,4,0,151,,,,,,,,,,,,4.5,2.56,1.76,8.42,0.8,0.242,1.22,0.258,0.7390000000000001,3.56,,,,,,,,,,,,,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,93,,0.12,0.068,,,-0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,1.3,0.1,1.4,28 - 28,0.052000000000000005,,,,,,,3.36,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.0,72.0,169.0,93.0,106.0,93,87.0,95,106.0,125,74,,,,,,,,,,,,,,,,,,0,,,
1013933,1949,Bill Wight,CHW,27,15,13,4.5,3.31,35,33,14,3,1,,245.0,1036,254,106,90,9,96,,0,3,1,78,,,,,,,,,,,,2.87,3.53,0.81,9.33,0.33,0.27,1.43,0.287,0.723,3.53,,,,,,,,,,,,,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,86,,0.075,0.09300000000000001,,,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,-1.0,1.4,0.4,27 - 27,-0.017,,,,,,,4.19,0.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,76.0,105.0,103.0,52.0,105,94.0,105,103.0,83,79,,,,,,,,,,,,,,,,,,0,,,
1010646,1949,Ken Raffensberger,CIN,31,18,17,4.3,3.39,41,38,20,5,0,,284.0,1190,289,129,107,23,80,,2,2,1,103,,,,,,,,,,,,3.26,2.54,1.29,9.16,0.73,0.261,1.3,0.271,0.7140000000000001,3.7,,,,,,,,,,,,,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,93,,0.087,0.067,,,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,0.2,0.3,0.5,31 - 31,0.019,,,,,,,3.75,0.17300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,71.0,124.0,101.0,96.0,100,93.0,99,102.0,90,73,,,,,,,,,,,,,,,,,,0,,,
