IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
327,1996,Ken Griffey Jr.,SEA,26,140,545,638,165,88,26,2,49,125,140,78,13,104,7,7,1,7,16,1,0.303,,,,,,,,,,,0.122,0.163,0.75,0.392,0.628,1.02,0.325,0.291,,,,,,,,,0.423,47.5,130,40.8,32.0,20.3,1.5,101.1,9.7,,5.6,146.0,2.66,-10.86,13.52,39.62,3.51,1.02,,0,3.55,-0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,2.6,,26 - 26,43.4,3.9,,,,,,,,0.36200000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,128.0,104.0,112.0,141.0,194.0,96.0,,,,,,,,,,,,,,,,,,0,,,,,,9.7
1109,1996,Barry Bonds,SFG,31,158,517,675,159,87,27,3,42,122,129,151,30,76,1,6,0,11,40,7,0.308,,,,,,,,,,,0.22399999999999998,0.113,1.99,0.461,0.615,1.076,0.308,0.289,,,,,,,,,0.446,63.7,151,67.5,10.0,21.5,-6.5,96.6,9.2,,5.8,179.0,7.68,-9.6,17.28,93.85,9.27,1.05,1.84,7,7.62,-0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4.6,,31 - 31,72.1,-0.5,,,,,,,,0.39899999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.0,251.0,69.0,136.0,146.0,202.0,96.0,,,,,,,,,,,,,,,,,,0,,,,,,9.2
1274,1996,Alex Rodriguez,SEA,20,146,601,677,215,124,54,1,36,141,123,59,1,104,4,7,6,15,15,4,0.358,,,,,,,,,,,0.087,0.154,0.57,0.414,0.631,1.045,0.273,0.382,,,,,,,,,0.443,62.1,149,55.0,8.0,21.5,7.8,97.5,9.2,,5.0,159.0,3.79,-12.17,15.96,65.86,5.85,1.04,1.61,1,4.2,-0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8,1.0,,20 - 20,56.0,4.1,,,,,,,,0.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.0,91.0,98.0,118.0,142.0,163.0,126.0,,,,,,,,,,,,,,,,,,0,,,,,,9.2
609,1996,Chuck Knoblauch,MIN,27,153,578,701,197,135,35,14,13,140,72,98,6,74,19,6,0,9,45,14,0.341,,,,,,,,,,,0.14,0.106,1.32,0.448,0.517,0.965,0.176,0.37,,,,,,,,,0.422,51.9,142,43.8,11.0,22.3,1.5,85.4,8.1,,8.1,145.0,3.15,-11.16,14.31,56.91,5.12,0.98,,0,4.2,-0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,2.5,,27 - 27,46.3,4.3,,,,,,,,0.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0,146.0,67.0,128.0,116.0,105.0,122.0,,,,,,,,,,,,,,,,,,0,,,,,,8.1
547,1996,Jeff Bagwell,HOU,28,162,568,719,179,98,48,2,31,111,120,135,20,114,10,6,0,15,21,7,0.315,,,,,,,,,,,0.188,0.159,1.18,0.451,0.57,1.021,0.255,0.345,,,,,,,,,0.433,60.1,153,66.7,2.0,22.9,-9.8,82.0,7.7,,4.5,173.0,7.06,-10.9,17.95,67.32,6.9,1.08,,0,6.48,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.8,0.8,,28 - 28,67.5,-0.6,,,,,,,,0.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,211.0,97.0,133.0,135.0,168.0,114.0,,,,,,,,,,,,,,,,,,0,,,,,,7.7
1004706,1996,Bernard Gilkey,NYM,29,153,571,656,181,104,44,3,30,108,117,73,7,125,4,8,0,18,17,9,0.317,,,,,,,,,,,0.111,0.191,0.58,0.393,0.562,0.955,0.245,0.356,,,,,,,,,0.405,39.3,124,43.2,23.0,20.9,-6.6,79.1,7.6,,4.9,152.0,5.22,-10.88,16.1,49.01,5.18,1.04,3.13,2,4.52,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,-0.8,,29 - 29,42.4,-0.5,,,,,,,,0.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,125.0,116.0,116.0,133.0,161.0,118.0,,,,,,,,,,,,,,,,,,0,,,,,,7.6
1001863,1996,Ken Caminiti,SDP,33,146,546,639,178,99,37,2,40,109,130,78,16,99,4,10,0,15,11,5,0.326,,,,,,,,,,,0.122,0.155,0.79,0.408,0.621,1.028,0.295,0.331,,,,,,,,,0.426,49.6,132,55.9,3.0,20.3,1.3,79.8,7.5,,4.2,169.0,6.07,-9.83,15.91,66.69,6.95,1.07,1.18,2,5.53,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,-0.2,,33 - 33,55.7,-0.5,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.0,137.0,94.0,120.0,147.0,194.0,110.0,,,,,,,,,,,,,,,,,,0,,,,,,7.5
409,1996,Jim Thome,CLE,25,151,505,636,157,86,28,5,38,122,116,123,8,141,6,2,0,13,2,2,0.311,,,,,,,,,,,0.193,0.222,0.87,0.45,0.612,1.062,0.301,0.363,,,,,,,,,0.45,62.2,144,55.2,-1.0,20.2,1.2,78.8,7.4,,4.1,163.0,4.44,-10.78,15.22,51.84,4.62,1.09,1.99,5,4.66,-0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,-0.7,,25 - 25,54.5,3.9,,,,,,,,0.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0,202.0,142.0,128.0,138.0,179.0,119.0,,,,,,,,,,,,,,,,,,0,,,,,,7.4
1008559,1996,Mark McGwire,OAK,32,130,423,548,132,59,21,0,52,104,113,116,16,112,8,1,0,14,0,0,0.312,,,,,,,,,,,0.212,0.204,1.04,0.467,0.73,1.198,0.418,0.308,,,,,,,,,0.489,71.8,142,68.6,-3.0,17.4,-8.1,78.1,7.3,,1.2,190.0,5.33,-8.33,13.66,61.44,5.44,1.02,1.87,5,5.25,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.1,-0.2,,32 - 32,68.4,3.3,,,,,,,,0.511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,221.0,130.0,133.0,164.0,249.0,101.0,,,,,,,,,,,,,,,,,,0,,,,,,7.3
372,1996,Ellis Burks,COL,31,156,613,685,211,118,45,8,40,142,128,61,2,114,6,2,3,19,32,6,0.344,,,,,,,,,,,0.08900000000000001,0.166,0.54,0.408,0.639,1.047,0.295,0.371,,,,,,,,,0.443,62.8,151,44.0,12.0,21.8,-4.9,75.9,7.2,,7.6,151.0,4.22,-12.27,16.49,48.41,4.4,1.04,0.89,6,4.06,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,3.5,,31 - 31,47.6,-0.5,,,,,,,,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,100.0,101.0,120.0,151.0,194.0,123.0,,,,,,,,,,,,,,,,,,0,,,,,,7.2
