IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1002537,1888,Roger Connor,NYG,30,134,481,558,140,94,15,17,14,98,71,73,,44.0,4,,,,27,,0.291,,,,,,,,,,,0.131,0.079,1.66,0.389,0.48,0.869,0.189,0.298,,,,,,,,,0.404,46.4,120,46.2,14.0,18.4,0.0,78.1,7.5,,7.3,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,-3.8,,30 - 30,42.3,3.4,,,,,,,,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,240,88.0,133,143,210,113.0,,,,,,,,,,,,,,,,,,0,,,,,,7.5
1010803,1888,John Reilly,CIN,29,127,527,562,169,114,28,14,13,112,103,17,,,18,,,,82,,0.321,,,,,,,,,,,0.03,,,0.363,0.501,0.864,0.18,,,,,,,,,,0.399,44.7,118,40.0,1.0,18.5,-0.6,71.2,6.8,,8.5,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,8.4,,29 - 29,48.4,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,47,,120,155,230,,,,,,,,,,,,,,,,,,,0,,,,,,6.8
1012586,1888,Harry Stovey,PHA,31,130,530,595,152,98,25,20,9,127,65,62,,,3,,,,87,,0.287,,,,,,,,,,,0.10400000000000001,,,0.365,0.46,0.825,0.174,,,,,,,,,,0.383,40.5,119,37.1,9.0,19.6,-7.2,71.1,6.8,,8.5,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,8.6,,31 - 31,45.7,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,163,,120,143,222,,,,,,,,,,,,,,,,,,,0,,,,,,6.8
1000272,1888,Cap Anson,CHI,36,134,515,563,177,133,20,12,12,101,84,47,,24.0,1,,,,28,,0.344,,,,,,,,,,,0.083,0.043,1.96,0.4,0.499,0.899,0.155,0.344,,,,,,,,,0.417,52.1,126,44.1,6.0,18.6,0.0,67.9,6.5,,7.2,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,-4.2,,36 - 36,40.0,3.4,,,,,,,,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,153,47.0,136,149,173,131.0,,,,,,,,,,,,,,,,,,0,,,,,,6.5
1001486,1888,Dan Brouthers,DET,30,129,522,602,160,107,33,11,9,118,66,68,,13.0,12,,,,34,,0.307,,,,,,,,,,,0.113,0.022000000000000002,5.23,0.399,0.464,0.862,0.157,0.302,,,,,,,,,0.404,50.1,129,46.9,0.0,19.8,0.0,67.1,6.4,,7.7,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-3.3,,30 - 30,43.6,3.6,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,207,24.0,136,138,174,114.0,,,,,,,,,,,,,,,,,,0,,,,,,6.4
1011341,1888,Jimmy Ryan,CHI,25,129,549,589,182,123,33,10,16,115,64,35,,50.0,5,,,,60,,0.332,,,,,,,,,,,0.059000000000000004,0.085,0.7,0.377,0.515,0.892,0.184,0.344,,,,,,,,,0.412,52.3,130,43.9,-2.0,19.4,-6.0,62.1,5.9,,8.2,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.0,3.2,,25 - 25,47.1,3.6,,,,,,,,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,109,94.0,129,154,204,130.0,,,,,,,,,,,,,,,,,,0,,,,,,5.9
1009821,1888,Tip O'Neill,STL,30,130,529,577,177,138,24,10,5,96,98,44,,,4,,,,26,,0.335,,,,,,,,,,,0.076,,,0.39,0.446,0.836,0.112,,,,,,,,,,0.392,42.8,119,34.0,10.0,19.0,-8.0,54.1,5.2,,6.9,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,-4.8,,30 - 30,29.2,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,119,,129,138,143,,,,,,,,,,,,,,,,,,,0,,,,,,5.2
1013751,1888,Curt Welch,PHA,26,136,549,611,155,124,22,8,1,125,61,33,,,29,,,,95,,0.282,,,,,,,,,,,0.054000000000000006,,,0.355,0.357,0.712,0.075,,,,,,,,,,0.342,23.1,103,19.6,8.0,20.1,-6.5,54.3,5.2,,7.7,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,9.0,,26 - 26,28.5,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,84,,117,111,95,,,,,,,,,,,,,,,,,,,0,,,,,,5.2
1007371,1888,Arlie Latham,STL,28,133,570,621,151,125,19,5,2,119,31,43,,,8,,,,109,,0.265,,,,,,,,,,,0.069,,,0.325,0.326,0.652,0.061,,,,,,,,,,0.313,10.0,92,0.6,11.0,20.5,4.1,52.7,5.1,,7.2,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,12.3,,28 - 28,12.9,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,108,,107,101,78,,,,,,,,,,,,,,,,,,,0,,,,,,5.1
1013062,1888,Mike Tiernan,NYG,21,113,443,492,130,97,16,8,9,75,52,42,,42.0,7,,,,52,,0.293,,,,,,,,,,,0.085,0.085,1.0,0.364,0.427,0.79,0.133,0.309,,,,,,,,,0.372,29.2,94,28.9,8.0,16.2,-7.0,51.7,5.0,,7.6,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.5,,21 - 21,31.5,3.0,,,,,,,,0.18899999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,156,95.0,124,127,148,117.0,,,,,,,,,,,,,,,,,,0,,,,,,5.0
