IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1004285,1933,Jimmie Foxx,PHA,25,149,573,670,204,110,37,9,48,125,163,96,,93,1,,0,,2,2.0,0.356,,,,,,,,,,,0.14300000000000002,0.139,1.03,0.449,0.703,1.153,0.347,0.361,,,,,,,,,0.51,92.1,170,79.5,0.0,19.9,-6.3,96.4,9.9,,4.3,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.3,-0.6,,25 - 25,79.0,3.9,,,,,,,,0.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,152.0,194.0,128.0,174.0,280.0,123.0,,,,,,,,,,,,,,,,,,0,,,,,,9.9
1006991,1933,Chuck Klein,PHI,28,152,606,667,223,144,44,7,28,101,120,56,,36,1,,4,3.0,15,,0.368,,,,,,,,,,,0.084,0.054000000000000006,1.56,0.422,0.602,1.025,0.234,0.36,,,,,,,,,0.463,67.7,145,59.1,-2.0,19.8,-6.5,73.2,7.5,,4.8,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.5,2.9,,28 - 28,62.0,0.0,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.0,126.0,81.0,129.0,161.0,232.0,125.0,,,,,,,,,,,,,,,,,,0,,,,,,7.5
1002796,1933,Joe Cronin,WAS,26,152,602,696,186,125,45,11,5,89,118,87,,49,2,,5,,5,4.0,0.309,,,,,,,,,,,0.125,0.07,1.78,0.398,0.445,0.843,0.136,0.33,,,,,,,,,0.392,33.0,114,23.1,16.0,20.7,9.4,72.4,7.4,,4.8,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,-0.8,,26 - 26,22.3,4.0,,,,,,,,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,132.0,98.0,113.0,110.0,110.0,112.0,,,,,,,,,,,,,,,,,,0,,,,,,7.4
1004596,1933,Charlie Gehringer,DET,30,155,628,705,204,144,42,6,12,103,105,68,,27,3,,6,,5,4.0,0.325,,,,,,,,,,,0.096,0.038,2.52,0.393,0.468,0.862,0.143,0.326,,,,,,,,,0.398,36.7,119,24.3,18.0,20.9,4.8,71.4,7.3,,4.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,-0.8,,30 - 30,23.6,4.1,,,,,,,,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,102.0,53.0,112.0,116.0,116.0,111.0,,,,,,,,,,,,,,,,,,0,,,,,,7.3
1004598,1933,Lou Gehrig,NYY,30,152,593,687,198,113,41,12,32,138,139,92,,42,1,,1,,9,13.0,0.334,,,,,,,,,,,0.134,0.061,2.19,0.424,0.605,1.03,0.272,0.32,,,,,,,,,0.462,69.6,149,62.5,-7.0,20.4,-6.6,69.7,7.1,,5.7,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.6,-3.7,,30 - 30,58.8,4.0,,,,,,,,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,142.0,85.0,120.0,150.0,219.0,109.0,,,,,,,,,,,,,,,,,,0,,,,,,7.1
1011327,1933,Babe Ruth,NYY,38,137,459,575,138,80,21,3,34,97,103,114,,90,2,,0,,4,5.0,0.301,,,,,,,,,,,0.198,0.157,1.27,0.442,0.582,1.023,0.281,0.31,,,,,,,,,0.462,58.3,125,52.4,0.0,17.1,-5.8,65.6,6.7,,3.4,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.8,-1.4,,38 - 38,51.0,3.3,,,,,,,,0.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,210.0,218.0,125.0,144.0,227.0,106.0,,,,,,,,,,,,,,,,,,0,,,,,,6.7
1013377,1933,Arky Vaughan,PIT,21,152,573,655,180,123,29,19,9,85,97,64,,23,5,,13,9.0,3,,0.314,,,,,,,,,,,0.098,0.035,2.78,0.388,0.478,0.866,0.164,0.316,,,,,,,,,0.398,33.9,110,34.5,0.0,19.4,9.4,63.8,6.5,,5.0,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,0.5,,21 - 21,35.0,0.0,,,,,,,,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0,147.0,53.0,119.0,127.0,162.0,110.0,,,,,,,,,,,,,,,,,,0,,,,,,6.5
1000875,1933,Wally Berger,BSN,27,137,528,574,165,93,37,8,27,84,106,41,,77,3,,2,6.0,2,,0.313,,,,,,,,,,,0.071,0.134,0.53,0.365,0.566,0.932,0.254,0.325,,,,,,,,,0.419,39.3,106,44.3,3.0,17.0,-1.7,63.0,6.4,,4.4,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,0.3,,27 - 27,44.6,0.0,,,,,,,,0.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.0,107.0,202.0,112.0,151.0,251.0,113.0,,,,,,,,,,,,,,,,,,0,,,,,,6.4
1002384,1933,Mickey Cochrane,PHA,30,130,429,542,138,89,30,4,15,104,60,106,,22,3,,4,,8,6.0,0.322,,,,,,,,,,,0.196,0.040999999999999995,4.82,0.459,0.515,0.974,0.193,0.314,,,,,,,,,0.449,49.5,112,39.4,-1.0,16.1,4.0,60.5,6.2,,4.6,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,-1.0,,30 - 30,38.4,3.1,,,,,,,,0.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0,207.0,57.0,130.0,127.0,156.0,107.0,,,,,,,,,,,,,,,,,,0,,,,,,6.2
1008189,1933,Pepper Martin,STL,29,145,599,669,189,133,36,12,8,122,57,67,,46,3,,0,9.0,26,,0.316,,,,,,,,,,,0.1,0.069,1.46,0.387,0.456,0.843,0.14,0.332,,,,,,,,,0.39,30.5,108,29.1,-1.0,19.9,2.7,55.7,5.7,,7.0,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,5.1,,29 - 29,34.2,0.0,,,,,,,,0.18100000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0,150.0,103.0,118.0,121.0,139.0,116.0,,,,,,,,,,,,,,,,,,0,,,,,,5.7
