IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1008082,1955,Mickey Mantle,NYY,23,147,517,638,158,85,25,11,37,121,99,113,6,97,3,3,2,4,8,1,0.306,,,,,,,,,,,0.177,0.152,1.16,0.431,0.611,1.042,0.306,0.313,,,,,,,,,0.451,62.8,137,62.5,10.0,19.0,-0.8,95.9,9.8,,6.3,179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,1.8,,23 - 23,64.3,3.3,,,,,,,,0.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0,170.0,150.0,125.0,154.0,234.0,113.0,,,,,,,,,,,,,,,,,,0,,,,,,9.8
1008315,1955,Willie Mays,NYG,24,152,580,670,185,103,18,13,51,123,127,79,13,60,4,7,0,12,24,4,0.319,,,,,,,,,,,0.11800000000000001,0.09,1.32,0.4,0.659,1.059,0.34,0.282,,,,,,,,,0.45,65.3,143,60.1,7.0,20.0,-0.9,88.6,9.0,,7.2,172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,3.7,,24 - 24,63.8,-1.2,,,,,,,,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,126.0,86.0,119.0,157.0,219.0,103.0,,,,,,,,,,,,,,,,,,0,,,,,,9.0
1000512,1955,Ernie Banks,CHC,24,154,596,646,176,94,29,9,44,98,117,45,6,72,2,3,0,16,9,3,0.295,,,,,,,,,,,0.07,0.111,0.63,0.345,0.596,0.941,0.3,0.273,,,,,,,,,0.406,40.3,116,34.0,14.0,19.3,9.5,76.6,7.8,,5.5,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,1.0,,24 - 24,35.0,-1.2,,,,,,,,0.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0,75.0,107.0,103.0,142.0,194.0,100.0,,,,,,,,,,,,,,,,,,0,,,,,,7.8
1012230,1955,Duke Snider,BRO,28,148,538,653,166,84,34,6,42,126,136,104,19,87,1,6,4,9,9,7,0.309,,,,,,,,,,,0.159,0.133,1.2,0.418,0.628,1.046,0.32,0.299,,,,,,,,,0.445,60.8,137,52.6,6.0,19.5,-0.9,75.5,7.7,,5.1,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,-0.5,,28 - 28,52.1,-1.2,,,,,,,,0.35700000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,171.0,127.0,124.0,150.0,206.0,110.0,,,,,,,,,,,,,,,,,,0,,,,,,7.7
1008236,1955,Eddie Mathews,MIL,23,141,499,616,144,75,23,5,41,108,101,109,20,98,1,6,1,5,3,4,0.289,,,,,,,,,,,0.177,0.159,1.11,0.413,0.601,1.014,0.313,0.281,,,,,,,,,0.432,51.0,123,51.3,4.0,18.4,1.7,73.8,7.5,,3.9,167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,-0.5,,23 - 23,50.8,-1.1,,,,,,,,0.40299999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,190.0,152.0,123.0,143.0,202.0,103.0,,,,,,,,,,,,,,,,,,0,,,,,,7.5
1006678,1955,Al Kaline,DET,20,152,588,681,200,141,24,8,27,121,102,82,12,57,5,6,0,13,6,8,0.34,,,,,,,,,,,0.12,0.084,1.44,0.421,0.546,0.967,0.206,0.339,,,,,,,,,0.423,52.0,131,47.2,10.0,20.3,-7.5,72.2,7.3,,4.7,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,-1.4,,20 - 20,45.8,3.5,,,,,,,,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,115.0,82.0,122.0,138.0,158.0,122.0,,,,,,,,,,,,,,,,,,0,,,,,,7.3
1014040,1955,Ted Williams,BOS,36,98,320,417,114,62,21,3,28,77,83,91,17,24,2,4,0,8,2,0,0.356,,,,,,,,,,,0.218,0.057999999999999996,3.79,0.496,0.703,1.2,0.347,0.316,,,,,,,,,0.505,58.6,107,52.0,7.0,12.4,-4.6,69.8,7.1,,4.0,201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,0.9,,36 - 36,52.9,2.2,,,,,,,,0.34299999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.0,209.0,57.0,144.0,177.0,266.0,114.0,,,,,,,,,,,,,,,,,,0,,,,,,7.1
1000335,1955,Richie Ashburn,PHI,28,140,533,644,180,136,32,9,3,91,42,105,5,36,3,1,2,3,12,10,0.338,,,,,,,,,,,0.163,0.055999999999999994,2.92,0.449,0.448,0.897,0.111,0.358,,,,,,,,,0.409,41.6,117,37.8,6.0,19.2,-0.9,60.1,6.1,,5.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,-0.9,,28 - 28,36.9,-1.2,,,,,,,,0.22399999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,175.0,53.0,133.0,107.0,71.0,131.0,,,,,,,,,,,,,,,,,,0,,,,,,6.1
1000001,1955,Hank Aaron,MIL,21,153,602,665,189,116,37,9,27,105,106,49,5,61,3,4,7,20,3,1,0.314,,,,,,,,,,,0.07400000000000001,0.092,0.8,0.366,0.54,0.906,0.226,0.313,,,,,,,,,0.396,36.5,114,36.8,7.0,19.8,-5.5,57.7,5.9,,4.9,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.7,,21 - 21,37.5,-1.2,,,,,,,,0.20600000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,79.0,88.0,109.0,128.0,146.0,115.0,,,,,,,,,,,,,,,,,,0,,,,,,5.9
1009405,1955,Stan Musial,STL,34,154,562,656,179,111,30,5,33,97,108,80,19,39,8,4,2,12,5,4,0.319,,,,,,,,,,,0.122,0.059000000000000004,2.05,0.408,0.566,0.974,0.247,0.296,,,,,,,,,0.421,48.6,125,42.5,5.0,19.6,-8.9,56.9,5.8,,3.7,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.9,0.0,,34 - 34,42.4,-1.2,,,,,,,,0.23199999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,131.0,57.0,121.0,135.0,160.0,109.0,,,,,,,,,,,,,,,,,,0,,,,,,5.8
