IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1011208,1953,Al Rosen,CLE,29,155,599,688,201,126,27,5,43,115,145,85,,48,4,,0,19,8,7,0.336,,,,,,,,,,,0.124,0.07,1.77,0.422,0.613,1.034,0.277,0.311,,,,,,,,,0.456,65.9,148,66.6,0.0,21.0,1.9,91.1,9.1,,3.9,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,-0.6,,29 - 29,65.9,2.3,,,,,,,,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.0,127.0,75.0,122.0,154.0,218.0,110.0,,,,,,,,,,,,,,,,,,0,,,,,,9.1
1012230,1953,Duke Snider,BRO,26,153,590,680,198,114,38,4,42,132,126,82,,90,3,,5,10,16,7,0.336,,,,,,,,,,,0.121,0.132,0.91,0.419,0.627,1.046,0.292,0.341,,,,,,,,,0.459,67.2,149,58.1,8.0,20.7,-0.9,87.9,8.8,,5.3,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,0.9,,26 - 26,59.0,1.0,,,,,,,,0.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,130.0,131.0,121.0,147.0,190.0,119.0,,,,,,,,,,,,,,,,,,0,,,,,,8.8
1008236,1953,Eddie Mathews,MIL,21,157,579,681,175,89,31,8,47,110,135,99,,83,2,,1,6,1,3,0.302,,,,,,,,,,,0.145,0.122,1.19,0.406,0.627,1.033,0.325,0.285,,,,,,,,,0.451,62.6,144,60.3,3.0,20.8,1.9,86.6,8.7,,3.6,167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,-0.4,,21 - 21,59.9,1.0,,,,,,,,0.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,157.0,121.0,117.0,147.0,212.0,100.0,,,,,,,,,,,,,,,,,,0,,,,,,8.7
1001871,1953,Roy Campanella,BRO,31,144,519,590,162,92,26,3,41,103,142,67,,58,4,,0,13,4,2,0.312,,,,,,,,,,,0.114,0.098,1.16,0.395,0.611,1.006,0.299,0.288,,,,,,,,,0.441,49.8,120,41.9,7.0,18.0,8.6,77.0,7.7,,3.8,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,0.5,,31 - 31,42.4,0.9,,,,,,,,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.0,123.0,97.0,114.0,143.0,195.0,101.0,,,,,,,,,,,,,,,,,,0,,,,,,7.7
1009405,1953,Stan Musial,STL,32,157,593,698,200,108,53,9,30,127,113,105,,32,0,,0,10,3,4,0.337,,,,,,,,,,,0.15,0.046,3.28,0.437,0.609,1.046,0.272,0.32,,,,,,,,,0.46,69.7,153,60.5,0.0,21.3,-7.4,75.1,7.5,,4.4,166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.4,-0.4,,32 - 32,60.2,1.0,,,,,,,,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0,162.0,45.0,126.0,142.0,177.0,112.0,,,,,,,,,,,,,,,,,,0,,,,,,7.5
1011070,1953,Jackie Robinson,BRO,34,136,484,574,159,106,34,7,12,109,95,74,,30,7,,9,12,17,4,0.329,,,,,,,,,,,0.129,0.052000000000000005,2.47,0.425,0.502,0.927,0.174,0.333,,,,,,,,,0.419,38.4,107,30.8,12.0,17.5,-3.2,60.3,6.0,,6.9,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,2.3,,34 - 34,33.2,0.9,,,,,,,,0.20199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,139.0,52.0,123.0,117.0,113.0,117.0,,,,,,,,,,,,,,,,,,0,,,,,,6.0
1011600,1953,Red Schoendienst,STL,30,146,564,627,193,138,35,5,15,107,79,60,,23,0,,3,19,3,3,0.342,,,,,,,,,,,0.096,0.037000000000000005,2.61,0.405,0.502,0.907,0.16,0.338,,,,,,,,,0.409,36.8,112,28.5,6.0,19.1,4.3,58.9,5.9,,4.0,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,0.0,,30 - 30,28.6,0.9,,,,,,,,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,103.0,36.0,117.0,117.0,104.0,119.0,,,,,,,,,,,,,,,,,,0,,,,,,5.9
1013416,1953,Mickey Vernon,WAS,35,152,608,679,205,136,43,11,15,101,115,63,,57,4,,4,15,4,6,0.337,,,,,,,,,,,0.09300000000000001,0.084,1.11,0.403,0.518,0.921,0.181,0.354,,,,,,,,,0.413,41.9,123,41.9,0.0,20.7,-9.4,54.4,5.4,,4.6,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.4,-1.0,,35 - 35,40.9,2.2,,,,,,,,0.19899999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,95.0,90.0,117.0,131.0,142.0,125.0,,,,,,,,,,,,,,,,,,0,,,,,,5.4
1001189,1953,Ray Boone,- - -,29,135,497,582,147,96,17,8,26,94,114,72,,68,5,,8,9,3,3,0.296,,,,,,,,,,,0.124,0.11699999999999999,1.06,0.39,0.519,0.909,0.223,0.3,,,,,,,,,0.407,33.1,103,30.8,0.0,17.7,3.3,53.7,5.4,,4.8,143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,-0.1,,29 - 29,30.7,1.9,,,,,,,,0.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,127.0,125.0,113.0,131.0,176.0,106.0,,,,,,,,,,,,,,,,,,0,,,,,,5.4
1000898,1953,Yogi Berra,NYY,28,137,503,557,149,94,23,5,27,80,108,50,,32,3,,1,7,0,3,0.296,,,,,,,,,,,0.09,0.057,1.56,0.363,0.523,0.886,0.227,0.275,,,,,,,,,0.394,26.1,93,27.9,0.0,17.0,8.2,54.1,5.4,,3.3,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,-0.8,,28 - 28,27.1,1.8,,,,,,,,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,92.0,61.0,105.0,132.0,178.0,97.0,,,,,,,,,,,,,,,,,,0,,,,,,5.4
1000335,1953,Richie Ashburn,PHI,26,156,622,702,205,169,25,9,2,110,57,61,,35,5,,14,3,14,6,0.33,,,,,,,,,,,0.087,0.05,1.74,0.394,0.408,0.802,0.079,0.347,,,,,,,,,0.37,19.4,103,12.2,19.0,21.4,-1.0,53.8,5.4,,5.8,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,1.1,,26 - 26,13.3,1.1,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,94.0,49.0,114.0,96.0,51.0,122.0,,,,,,,,,,,,,,,,,,0,,,,,,5.4
