IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1004757,1889,Jack Glasscock,IND,31,134,582,618,205,155,40,3,7,128,85,31,,10,5,,,,57,,0.352,,,,,,,,,,,0.05,0.016,3.1,0.39,0.467,0.857,0.115,0.35,,,,,,,,,0.403,36.0,131,27.0,12.0,22.8,8.1,77.4,6.6,,6.7,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,3.5,,31 - 31,30.5,3.9,,,,,,,,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,56,22,114,126,116,122.0,,,,,,,,,,,,,,,,,,0,,,,,,6.6
1013213,1889,Tommy Tucker,BAL,25,134,527,602,196,158,22,11,5,103,99,42,,26,33,,,,63,,0.372,,,,,,,,,,,0.07,0.043,1.62,0.45,0.484,0.934,0.112,0.385,,,,,,,,,0.446,56.5,149,55.0,-3.0,22.2,-0.6,80.1,6.5,,7.7,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6,3.0,,25 - 25,58.1,3.4,,,,,,,,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,79,49,132,133,117,133.0,,,,,,,,,,,,,,,,,,0,,,,,,6.5
1012586,1889,Harry Stovey,PHA,32,137,556,634,171,101,38,13,19,152,119,77,,68,1,,,,63,,0.308,,,,,,,,,,,0.121,0.107,1.13,0.393,0.525,0.918,0.218,0.324,,,,,,,,,0.423,47.0,144,43.9,9.0,23.4,-8.4,76.7,6.4,,8.5,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,5.2,,32 - 32,49.1,3.6,,,,,,,,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,138,122,116,144,227,112.0,,,,,,,,,,,,,,,,,,0,,,,,,6.4
1002537,1889,Roger Connor,NYG,31,131,496,591,157,95,32,17,13,117,130,93,,46,2,,,,21,,0.317,,,,,,,,,,,0.157,0.078,2.02,0.426,0.528,0.955,0.212,0.33,,,,,,,,,0.443,53.9,145,49.7,3.0,21.8,0.0,74.6,6.2,,7.0,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,-3.6,,31 - 31,46.0,3.8,,,,,,,,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,175,107,124,142,213,114.0,,,,,,,,,,,,,,,,,,0,,,,,,6.2
1001486,1889,Dan Brouthers,BSN,31,126,485,565,181,139,26,9,7,105,118,66,,6,14,,,,22,,0.373,,,,,,,,,,,0.11699999999999999,0.011000000000000001,11.0,0.462,0.507,0.969,0.134,0.369,,,,,,,,,0.46,59.3,146,49.7,4.0,20.8,0.0,73.5,6.1,,6.6,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,-4.6,,31 - 31,45.1,3.6,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,130,15,135,137,135,128.0,,,,,,,,,,,,,,,,,,0,,,,,,6.1
1013062,1889,Mike Tiernan,NYG,22,122,499,600,167,120,23,14,10,147,73,96,,32,5,,,,33,,0.335,,,,,,,,,,,0.16,0.053,3.0,0.447,0.497,0.944,0.162,0.344,,,,,,,,,0.446,56.3,148,52.0,3.0,22.1,-7.5,70.9,5.9,,7.7,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.5,-2.5,,22 - 22,49.5,3.8,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,178,73,130,134,163,119.0,,,,,,,,,,,,,,,,,,0,,,,,,5.9
1007880,1889,Denny Lyons,PHA,23,131,510,596,168,119,36,4,9,135,82,79,,44,7,,,,10,,0.329,,,,,,,,,,,0.133,0.07400000000000001,1.8,0.426,0.469,0.895,0.139,0.348,,,,,,,,,0.426,45.9,137,43.0,3.0,22.0,4.0,69.0,5.7,,5.5,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,-6.4,,23 - 23,36.6,3.4,,,,,,,,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,151,84,125,129,145,120.0,,,,,,,,,,,,,,,,,,0,,,,,,5.7
1000272,1889,Cap Anson,CHI,37,134,518,609,161,115,32,7,7,100,117,86,,19,5,,,,27,,0.311,,,,,,,,,,,0.141,0.031,4.53,0.414,0.44,0.854,0.129,0.313,,,,,,,,,0.41,38.6,132,26.7,13.0,22.5,0.0,62.9,5.4,,6.1,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,-3.1,,37 - 37,23.6,3.9,,,,,,,,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,157,43,121,118,130,109.0,,,,,,,,,,,,,,,,,,0,,,,,,5.4
1009821,1889,Tip O'Neill,STL,31,134,534,611,179,129,33,8,9,123,110,72,,37,5,,,,28,,0.335,,,,,,,,,,,0.11800000000000001,0.061,1.95,0.419,0.478,0.897,0.142,0.348,,,,,,,,,0.424,46.1,140,35.5,8.0,22.5,-8.3,58.3,4.9,,6.9,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,-2.9,,31 - 31,32.6,3.5,,,,,,,,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,134,69,123,131,148,120.0,,,,,,,,,,,,,,,,,,0,,,,,,4.9
1008129,1889,Lefty Marr,COL,26,139,546,639,167,125,26,15,1,110,75,87,,32,6,,,,29,,0.306,,,,,,,,,,,0.136,0.05,2.72,0.407,0.414,0.821,0.108,0.324,,,,,,,,,0.397,33.9,132,36.6,-2.0,23.6,0.7,59.3,4.8,,7.2,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,-3.2,,26 - 26,33.4,3.6,,,,,,,,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,155,57,120,114,113,111.0,,,,,,,,,,,,,,,,,,0,,,,,,4.8
