IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1012546,1945,Snuffy Stirnweiss,NYY,26,152,632,717,195,131,32,22,10,107,64,78,,62,1,,6,9,33,17.0,0.309,,,,,,,,,,,0.109,0.086,1.26,0.385,0.476,0.862,0.168,0.33,,,,,,,,,0.404,39.0,117,37.6,18.0,20.3,6.6,83.8,8.9,,7.1,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,-0.4,,26 - 26,37.2,1.7,,,,,,,,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,117.0,108.0,115.0,134.0,178.0,118.0,,,,,,,,,,,,,,,,,,0,,,,,,8.9
1005980,1945,Tommy Holmes,BSN,28,154,636,713,224,143,47,6,28,125,117,70,,9,4,,3,11,15,,0.352,,,,,,,,,,,0.098,0.013000000000000001,7.78,0.42,0.577,0.997,0.225,0.327,,,,,,,,,0.463,69.1,146,60.7,2.0,20.2,-6.6,81.1,8.7,,4.9,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.6,2.6,,28 - 28,63.2,2.2,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.0,109.0,18.0,122.0,153.0,217.0,114.0,,,,,,,,,,,,,,,,,,0,,,,,,8.7
1005183,1945,Stan Hack,CHC,35,150,597,702,193,155,29,7,2,110,43,99,,30,1,,5,4,12,,0.323,,,,,,,,,,,0.141,0.043,3.3,0.42,0.405,0.826,0.082,0.338,,,,,,,,,0.398,35.1,111,28.5,9.0,19.9,-0.2,61.2,6.5,,5.0,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,1.9,,35 - 35,30.4,2.2,,,,,,,,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,157.0,60.0,123.0,108.0,79.0,118.0,,,,,,,,,,,,,,,,,,0,,,,,,6.5
1007260,1945,Eddie Lake,BOS,29,133,473,586,132,93,27,1,11,81,51,106,,37,1,,6,9,9,7.0,0.279,,,,,,,,,,,0.18100000000000002,0.063,2.86,0.412,0.41,0.822,0.131,0.285,,,,,,,,,0.398,29.3,93,25.9,11.0,16.6,8.1,61.6,6.5,,3.4,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,-1.3,,29 - 29,24.6,1.4,,,,,,,,0.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,195.0,79.0,124.0,115.0,139.0,102.0,,,,,,,,,,,,,,,,,,0,,,,,,6.5
1002093,1945,Phil Cavarretta,CHC,28,132,498,586,177,127,34,10,6,94,97,81,,34,4,,3,6,5,,0.355,,,,,,,,,,,0.138,0.057999999999999996,2.38,0.449,0.5,0.949,0.145,0.373,,,,,,,,,0.448,50.3,114,44.8,1.0,16.6,-5.7,59.1,6.3,,5.1,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.7,0.6,,28 - 28,45.4,1.8,,,,,,,,0.20600000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,154.0,81.0,131.0,133.0,139.0,131.0,,,,,,,,,,,,,,,,,,0,,,,,,6.3
1004440,1945,Augie Galan,BRO,33,152,576,696,177,125,36,7,9,114,92,114,,27,2,,4,10,13,,0.307,,,,,,,,,,,0.16399999999999998,0.039,4.22,0.423,0.441,0.864,0.134,0.311,,,,,,,,,0.413,42.6,118,33.8,1.0,19.7,-4.9,53.9,5.8,,5.1,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.9,2.1,,33 - 33,35.9,2.2,,,,,,,,0.21600000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,182.0,54.0,124.0,117.0,129.0,109.0,,,,,,,,,,,,,,,,,,0,,,,,,5.8
1002861,1945,Roy Cullenbine,- - -,31,154,536,657,146,95,28,5,18,83,93,113,,36,3,,5,11,2,0.0,0.272,,,,,,,,,,,0.172,0.055,3.14,0.402,0.444,0.846,0.172,0.266,,,,,,,,,0.404,35.8,107,31.8,8.0,18.6,-6.5,53.5,5.7,,3.4,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.0,,31 - 31,31.8,1.6,,,,,,,,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,186.0,68.0,120.0,125.0,183.0,95.0,,,,,,,,,,,,,,,,,,0,,,,,,5.7
1012501,1945,Vern Stephens,SLB,24,149,571,632,165,111,27,3,24,90,89,55,,70,1,,5,11,2,1.0,0.289,,,,,,,,,,,0.087,0.111,0.79,0.352,0.473,0.825,0.184,0.296,,,,,,,,,0.388,27.0,96,23.5,0.0,17.9,8.9,51.5,5.5,,3.4,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,-0.3,,24 - 24,23.2,1.5,,,,,,,,0.23600000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,94.0,138.0,106.0,133.0,196.0,106.0,,,,,,,,,,,,,,,,,,0,,,,,,5.5
1012406,1945,Eddie Stanky,BRO,28,153,555,726,143,108,29,5,1,128,39,148,,42,4,,19,7,6,,0.258,,,,,,,,,,,0.204,0.057999999999999996,3.52,0.417,0.333,0.751,0.076,0.277,,,,,,,,,0.375,24.4,103,15.2,3.0,20.6,6.6,48.4,5.2,,4.7,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,0.7,,28 - 28,15.9,2.3,,,,,,,,0.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,226.0,81.0,122.0,88.0,73.0,97.0,,,,,,,,,,,,,,,,,,0,,,,,,5.2
1007215,1945,Whitey Kurowski,STL,27,133,511,573,165,114,27,3,21,84,102,45,,45,5,,12,10,1,,0.323,,,,,,,,,,,0.079,0.079,1.0,0.383,0.511,0.894,0.188,0.324,,,,,,,,,0.419,37.3,99,30.5,-1.0,16.2,0.4,47.7,5.1,,3.1,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6,-0.1,,27 - 27,30.3,1.8,,,,,,,,0.19399999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,87.0,109.0,112.0,135.0,181.0,113.0,,,,,,,,,,,,,,,,,,0,,,,,,5.1
